sub_mode,algo_mode,multi,div,classifier,p,r,f1,acc,baseline,date,tags,feats,feat_types,difficulties,size
submiss,categ,1,DivAll,SVM,0.46,0.6,0.52,0.1,0.22,2017/02/10 21:19:17,brute force:data structures:dp:graphs:greedy:implementation:math,,
submiss,categ,1,DivAll,SVM,0.47,0.6,0.52,0.1,0.22,2017/02/10 21:21:00,brute force:data structures:dp:graphs:greedy:implementation:math,,
submiss,categ,1,DivAll,SVM,0.47,0.67,0.55,0.11,0.24,2017/02/10 21:22:18,data structures:dp:graphs:greedy:implementation:math,,
submiss,pairs,0,DivAll,ANN,0.87,0.87,0.87,0.87,0.74,2017/02/10 21:24:40,graphs:math,,
pandas,categ,1,DivAll,SVM,0.47,0.66,0.55,0.11,0.24,2017/02/10 22:49:08,data structures:dp:graphs:greedy:implementation:math,,
pandas,categ,1,DivAll,SVM,0.46,0.59,0.52,0.09,0.22,2017/02/10 22:51:28,brute force:data structures:dp:graphs:greedy:implementation:math,,
pandas,categ,1,DivAll,SVM,0.39,0.76,0.51,0.03,0.22,2017/02/10 22:52:51,brute force:data structures:dp:graphs:greedy:implementation:math,,
pandas,categ,1,DivAll,SVM,0.36,0.75,0.48,0.02,0.22,2017/02/10 23:05:32,brute force:data structures:dp:graphs:greedy:implementation:math,,
pandas,categ,1,DivAll,SVM,0.34,0.72,0.46,0.01,0.22,2017/02/10 23:07:06,brute force:data structures:dp:graphs:greedy:implementation:math,,
pandas,categ,1,DivAll,SVM,0.33,0.74,0.46,0.01,0.22,2017/02/10 23:08:45,brute force:data structures:dp:graphs:greedy:implementation:math,,
pandas,categ,1,DivAll,SVM,0.32,0.73,0.45,0.01,0.22,2017/02/10 23:10:06,brute force:data structures:dp:graphs:greedy:implementation:math,,
pandas,categ,1,DivAll,RFT,0.26,0,0,0,0.22,2017/02/10 23:11:45,brute force:data structures:dp:graphs:greedy:implementation:math,,
pandas,categ,1,DivAll,RFT,0.47,0.23,0.31,0.11,0.22,2017/02/10 23:13:44,brute force:data structures:dp:graphs:greedy:implementation:math,,
pandas,categ,1,DivAll,RFT,0.46,0.26,0.33,0.12,0.22,2017/02/10 23:15:20,brute force:data structures:dp:graphs:greedy:implementation:math,,
pandas,categ,1,DivAll,SVM,0.34,0.72,0.46,0.01,0.22,2017/02/11 10:42:18,brute force:data structures:dp:graphs:greedy:implementation:math,,
pandas,categ,1,DivAll,SVM,0.66,0.06,0.11,0.04,0.22,2017/02/11 10:43:45,brute force:data structures:dp:graphs:greedy:implementation:math,,
pandas,categ,1,DivAll,SVM,0.67,0.17,0.27,0.11,0.22,2017/02/11 10:46:41,brute force:data structures:dp:graphs:greedy:implementation:math,,
pandas,categ,1,DivAll,SVM,0.66,0.06,0.11,0.04,0.22,2017/02/11 10:49:13,brute force:data structures:dp:graphs:greedy:implementation:math,,
pandas,categ,1,DivAll,SVM,0.41,0.68,0.51,0.06,0.22,2017/02/11 10:55:42,brute force:data structures:dp:graphs:greedy:implementation:math,,
pandas,categ,1,DivAll,SVM,0.34,0.64,0.45,0.04,0.22,2017/02/11 10:56:51,brute force:data structures:dp:graphs:greedy:implementation:math,,
pandas,categ,1,DivAll,SVM,0.31,0.58,0.4,0.01,0.22,2017/02/11 10:58:33,brute force:data structures:dp:graphs:greedy:implementation:math,,
pandas,categ,1,DivAll,SVM,0.31,0.6,0.41,0.01,0.22,2017/02/11 10:59:39,brute force:data structures:dp:graphs:greedy:implementation:math,,
pandas,categ,1,DivAll,SVM,0.3,0.67,0.41,0,0.22,2017/02/11 11:00:55,brute force:data structures:dp:graphs:greedy:implementation:math,,
pandas,categ,1,DivAll,RFT,0.36,0,0,0,0.22,2017/02/11 11:02:47,brute force:data structures:dp:graphs:greedy:implementation:math,,
pandas,categ,1,DivAll,DBT,0.41,0.43,0.42,0.09,0.22,2017/02/11 11:08:42,brute force:data structures:dp:graphs:greedy:implementation:math,,
pandas,categ,1,DivAll,MNB,0.42,0.55,0.47,0.09,0.22,2017/02/11 11:12:42,brute force:data structures:dp:graphs:greedy:implementation:math,,
pandas,categ,1,DivAll,MNB,0.42,0.55,0.47,0.09,0.22,2017/02/11 11:17:26,brute force:data structures:dp:graphs:greedy:implementation:math,,
pandas,categ,1,DivAll,GNB,0.35,0.56,0.43,0.04,0.22,2017/02/11 11:22:39,brute force:data structures:dp:graphs:greedy:implementation:math,,
pandas,categ,1,DivAll,MNB,0.37,0.05,0.09,0.01,0.22,2017/02/11 11:28:29,brute force:data structures:dp:graphs:greedy:implementation:math,,
pandas,categ,1,DivAll,MNB,0.42,0.55,0.47,0.09,0.22,2017/02/11 11:30:37,brute force:data structures:dp:graphs:greedy:implementation:math,,
pandas,categ,1,DivAll,MNB,0.42,0.55,0.47,0.09,0.22,2017/02/11 11:31:54,brute force:data structures:dp:graphs:greedy:implementation:math,,
pandas,categ,1,DivAll,MNB,0.43,0.52,0.47,0.1,0.22,2017/02/11 11:32:43,brute force:data structures:dp:graphs:greedy:implementation:math,,
pandas,categ,1,DivAll,MNB,0.43,0.52,0.47,0.1,0.22,2017/02/11 11:39:21,brute force:data structures:dp:graphs:greedy:implementation:math,,
submiss,categ,0,DivAll,MNB,0.3,0.47,0.37,0.14,0.23,2017/02/11 12:10:38,brute force:data structures:dp:graphs:greedy:implementation:math,,
submiss,categ,0,DivAll,RFT,0.66,0.22,0.33,0.22,0.23,2017/02/11 12:12:21,brute force:data structures:dp:graphs:greedy:implementation:math,,
pandas,categ,0,DivAll,MNB,0.37,0.37,0.37,0.37,0.23,2017/02/11 12:15:33,brute force:data structures:dp:graphs:greedy:implementation:math,,
pandas,categ,0,DivAll,RFT,0.46,0.46,0.46,0.46,0.23,2017/02/11 12:17:45,brute force:data structures:dp:graphs:greedy:implementation:math,,
pandas,categ,0,DivAll,SVM,0.41,0.41,0.41,0.41,0.23,2017/02/11 12:19:04,brute force:data structures:dp:graphs:greedy:implementation:math,,
pandas,pairs,0,DivAll,SVM,0.72,0.72,0.72,0.72,0.54,2017/02/11 14:13:18,dp:greedy,,
pandas,pairs,0,DivAll,RFT,0.76,0.76,0.76,0.76,0.54,2017/02/11 14:13:34,dp:greedy,,
pandas,pairs,0,DivAll,MNB,0.67,0.67,0.67,0.67,0.54,2017/02/11 14:13:48,dp:greedy,,
pandas,pairs,0,DivAll,ADA,0.75,0.75,0.75,0.75,0.54,2017/02/11 14:14:41,dp:greedy,,
pandas,pairs,0,DivAll,ADA,0.69,0.69,0.69,0.69,0.54,2017/02/11 14:17:44,dp:greedy,int:double:char:vector:ll:point:arrays:problem_id:id,
pandas,pairs,0,DivAll,SVM,0.66,0.66,0.66,0.66,0.54,2017/02/11 14:19:20,dp:greedy,int:double:char:vector:ll:point:arrays:problem_id:id,
pandas,pairs,0,DivAll,SVM,0.72,0.72,0.72,0.72,0.54,2017/02/11 15:58:30,dp:greedy,id:problem_id:single_loop:double_loop:triple_loop:if_loop:recursion:shift:or:and:int:double:string:char:vector:ll:point:arrays:declarations:variables:avg_params:functions:operations:plus:minus:times:divide:modulus:lines:ifs:ors,
pandas,pairs,0,DivAll,RFT,0.76,0.76,0.76,0.76,0.54,2017/02/11 15:58:54,dp:greedy,id:problem_id:single_loop:double_loop:triple_loop:if_loop:recursion:shift:or:and:int:double:string:char:vector:ll:point:arrays:declarations:variables:avg_params:functions:operations:plus:minus:times:divide:modulus:lines:ifs:ors,
pandas,pairs,0,DivAll,ADA,0.75,0.75,0.75,0.75,0.54,2017/02/11 15:59:11,dp:greedy,id:problem_id:single_loop:double_loop:triple_loop:if_loop:recursion:shift:or:and:int:double:string:char:vector:ll:point:arrays:declarations:variables:avg_params:functions:operations:plus:minus:times:divide:modulus:lines:ifs:ors,
pandas,pairs,0,DivAll,SVM,0.66,0.66,0.66,0.66,0.54,2017/02/11 16:57:33,dp:greedy,int:double:char:vector:ll:point:arrays:problem_id:id,
pandas,pairs,0,DivAll,RFT,0.66,0.66,0.66,0.66,0.54,2017/02/11 16:57:48,dp:greedy,int:double:char:vector:ll:point:arrays:problem_id:id,
pandas,pairs,0,DivAll,ADA,0.69,0.69,0.69,0.69,0.54,2017/02/11 16:58:09,dp:greedy,int:double:char:vector:ll:point:arrays:problem_id:id,
pandas,pairs,0,DivAll,SVM,0.67,0.67,0.67,0.67,0.54,2017/02/11 17:11:40,dp:greedy,int:double:char:vector:ll:point:arrays:operations:plus:minus:times:divide:modulus:problem_id:id,
pandas,pairs,0,DivAll,RFT,0.7,0.7,0.7,0.7,0.54,2017/02/11 17:11:54,dp:greedy,int:double:char:vector:ll:point:arrays:operations:plus:minus:times:divide:modulus:problem_id:id,
pandas,pairs,0,DivAll,ADA,0.71,0.71,0.71,0.71,0.54,2017/02/11 17:12:08,dp:greedy,int:double:char:vector:ll:point:arrays:operations:plus:minus:times:divide:modulus:problem_id:id,
pandas,pairs,0,DivAll,SVM,0.7,0.7,0.7,0.7,0.54,2017/02/11 17:14:41,dp:greedy,int:double:char:vector:ll:point:arrays:single_loop:double_loop:triple_loop:if_loop:ifs:operations:plus:minus:times:divide:modulus:problem_id:id,
pandas,pairs,0,DivAll,RFT,0.73,0.73,0.73,0.73,0.54,2017/02/11 17:14:55,dp:greedy,int:double:char:vector:ll:point:arrays:single_loop:double_loop:triple_loop:if_loop:ifs:operations:plus:minus:times:divide:modulus:problem_id:id,
pandas,pairs,0,DivAll,ADA,0.73,0.73,0.73,0.73,0.54,2017/02/11 17:15:09,dp:greedy,int:double:char:vector:ll:point:arrays:single_loop:double_loop:triple_loop:if_loop:ifs:operations:plus:minus:times:divide:modulus:problem_id:id,
pandas,pairs,0,DivAll,SVM,0.57,0.57,0.57,0.57,0.54,2017/02/11 17:16:23,dp:greedy,lines:problem_id:id,
pandas,pairs,0,DivAll,RFT,0.59,0.59,0.59,0.59,0.54,2017/02/11 17:16:37,dp:greedy,lines:problem_id:id,
pandas,pairs,0,DivAll,ADA,0.6,0.6,0.6,0.6,0.54,2017/02/11 17:16:51,dp:greedy,lines:problem_id:id,
pandas,pairs,0,DivAll,SVM,0.72,0.72,0.72,0.72,0.54,2017/02/11 20:36:39,dp:greedy,id:problem_id:single_loop:double_loop:triple_loop:if_loop:recursion:shift:or:and:int:double:float:string:char:vector:ll:point:arrays:declarations:variables:avg_params:functions:operations:plus:minus:times:divide:modulus:lines:ifs,
pandas,pairs,0,DivAll,RFT,0.76,0.76,0.76,0.76,0.54,2017/02/11 20:36:54,dp:greedy,id:problem_id:single_loop:double_loop:triple_loop:if_loop:recursion:shift:or:and:int:double:float:string:char:vector:ll:point:arrays:declarations:variables:avg_params:functions:operations:plus:minus:times:divide:modulus:lines:ifs,
pandas,pairs,0,DivAll,ADA,0.75,0.75,0.75,0.75,0.54,2017/02/11 20:37:08,dp:greedy,id:problem_id:single_loop:double_loop:triple_loop:if_loop:recursion:shift:or:and:int:double:float:string:char:vector:ll:point:arrays:declarations:variables:avg_params:functions:operations:plus:minus:times:divide:modulus:lines:ifs,
pandas,pairs,0,DivAll,SVM,0.68,0.68,0.68,0.68,0.6,2017/02/15 10:09:25,brute force:dp,id:problem_id:single_loop:double_loop:triple_loop:if_loop:recursion:shift:or:and:int:double:float:string:char:vector:ll:point:arrays:declarations:variables:avg_params:functions:operations:plus:minus:times:divide:modulus:lines:ifs,all_feats
pandas,pairs,0,DivAll,SVM,0.52,0.52,0.52,0.52,0.6,2017/02/15 10:09:38,brute force:dp,lines:problem_id:id,lines
pandas,pairs,0,DivAll,SVM,0.62,0.62,0.62,0.62,0.6,2017/02/15 10:09:52,brute force:dp,int:double:float:char:vector:ll:point:arrays:problem_id:id,count_vars
pandas,pairs,0,DivAll,SVM,0.63,0.63,0.63,0.63,0.6,2017/02/15 10:10:05,brute force:dp,int:double:float:char:vector:ll:point:arrays:operations:plus:minus:times:divide:modulus:problem_id:id,count_vars:operations
pandas,pairs,0,DivAll,SVM,0.66,0.66,0.66,0.66,0.6,2017/02/15 10:10:19,brute force:dp,int:double:float:char:vector:ll:point:arrays:operations:plus:minus:times:divide:modulus:single_loop:double_loop:triple_loop:if_loop:ifs:problem_id:id,count_vars:operations:constructs
pandas,pairs,0,DivAll,RFT,0.72,0.72,0.72,0.72,0.6,2017/02/15 10:10:44,brute force:dp,id:problem_id:single_loop:double_loop:triple_loop:if_loop:recursion:shift:or:and:int:double:float:string:char:vector:ll:point:arrays:declarations:variables:avg_params:functions:operations:plus:minus:times:divide:modulus:lines:ifs,all_feats
pandas,pairs,0,DivAll,RFT,0.61,0.61,0.61,0.61,0.6,2017/02/15 10:11:08,brute force:dp,lines:problem_id:id,lines
pandas,pairs,0,DivAll,RFT,0.66,0.66,0.66,0.66,0.6,2017/02/15 10:11:22,brute force:dp,int:double:float:char:vector:ll:point:arrays:problem_id:id,count_vars
pandas,pairs,0,DivAll,RFT,0.68,0.68,0.68,0.68,0.6,2017/02/15 10:11:36,brute force:dp,int:double:float:char:vector:ll:point:arrays:operations:plus:minus:times:divide:modulus:problem_id:id,count_vars:operations
pandas,pairs,0,DivAll,RFT,0.7,0.7,0.7,0.7,0.6,2017/02/15 10:11:51,brute force:dp,int:double:float:char:vector:ll:point:arrays:operations:plus:minus:times:divide:modulus:single_loop:double_loop:triple_loop:if_loop:ifs:problem_id:id,count_vars:operations:constructs
pandas,pairs,0,DivAll,ADA,0.71,0.71,0.71,0.71,0.6,2017/02/15 10:12:06,brute force:dp,id:problem_id:single_loop:double_loop:triple_loop:if_loop:recursion:shift:or:and:int:double:float:string:char:vector:ll:point:arrays:declarations:variables:avg_params:functions:operations:plus:minus:times:divide:modulus:lines:ifs,all_feats
pandas,pairs,0,DivAll,ADA,0.62,0.62,0.62,0.62,0.6,2017/02/15 10:12:22,brute force:dp,lines:problem_id:id,lines
pandas,pairs,0,DivAll,ADA,0.69,0.69,0.69,0.69,0.6,2017/02/15 10:12:46,brute force:dp,int:double:float:char:vector:ll:point:arrays:problem_id:id,count_vars
pandas,pairs,0,DivAll,ADA,0.7,0.7,0.7,0.7,0.6,2017/02/15 10:13:12,brute force:dp,int:double:float:char:vector:ll:point:arrays:operations:plus:minus:times:divide:modulus:problem_id:id,count_vars:operations
pandas,pairs,0,DivAll,ADA,0.7,0.7,0.7,0.7,0.6,2017/02/15 10:13:38,brute force:dp,int:double:float:char:vector:ll:point:arrays:operations:plus:minus:times:divide:modulus:single_loop:double_loop:triple_loop:if_loop:ifs:problem_id:id,count_vars:operations:constructs
pandas,graph,0,DivAll,SVM,0.53,0.53,0.53,0.53,0.38,2017/02/16 16:43:04,dfs and similar:flows:shortest paths:trees,id:problem_id:single_loop:double_loop:triple_loop:if_loop:recursion:shift:or:and:int:double:float:string:char:vector:ll:point:arrays:declarations:variables:avg_params:functions:operations:plus:minus:times:divide:modulus:lines:ifs,all_feats
pandas,graph,0,DivAll,SVM,0.35,0.35,0.35,0.35,0.38,2017/02/16 16:43:08,dfs and similar:flows:shortest paths:trees,lines:problem_id:id,lines
pandas,graph,0,DivAll,SVM,0.41,0.41,0.41,0.41,0.38,2017/02/16 16:43:13,dfs and similar:flows:shortest paths:trees,int:double:float:char:vector:ll:point:arrays:problem_id:id,count_vars
pandas,graph,0,DivAll,SVM,0.46,0.46,0.46,0.46,0.38,2017/02/16 16:43:17,dfs and similar:flows:shortest paths:trees,int:double:float:char:vector:ll:point:arrays:operations:plus:minus:times:divide:modulus:problem_id:id,count_vars:operations
pandas,graph,0,DivAll,SVM,0.51,0.51,0.51,0.51,0.38,2017/02/16 16:43:22,dfs and similar:flows:shortest paths:trees,int:double:float:char:vector:ll:point:arrays:operations:plus:minus:times:divide:modulus:single_loop:double_loop:triple_loop:if_loop:ifs:problem_id:id,count_vars:operations:constructs
pandas,graph,0,DivAll,RFT,0.61,0.61,0.61,0.61,0.38,2017/02/16 16:43:30,dfs and similar:flows:shortest paths:trees,id:problem_id:single_loop:double_loop:triple_loop:if_loop:recursion:shift:or:and:int:double:float:string:char:vector:ll:point:arrays:declarations:variables:avg_params:functions:operations:plus:minus:times:divide:modulus:lines:ifs,all_feats
pandas,graph,0,DivAll,RFT,0.39,0.39,0.39,0.39,0.38,2017/02/16 16:43:35,dfs and similar:flows:shortest paths:trees,lines:problem_id:id,lines
pandas,graph,0,DivAll,RFT,0.40,0.40,0.40,0.40,0.38,2017/02/16 16:43:41,dfs and similar:flows:shortest paths:trees,int:double:float:char:vector:ll:point:arrays:problem_id:id,count_vars
pandas,graph,0,DivAll,RFT,0.47,0.47,0.47,0.47,0.38,2017/02/16 16:43:48,dfs and similar:flows:shortest paths:trees,int:double:float:char:vector:ll:point:arrays:operations:plus:minus:times:divide:modulus:problem_id:id,count_vars:operations
pandas,graph,0,DivAll,RFT,0.55,0.55,0.55,0.55,0.38,2017/02/16 16:43:55,dfs and similar:flows:shortest paths:trees,int:double:float:char:vector:ll:point:arrays:operations:plus:minus:times:divide:modulus:single_loop:double_loop:triple_loop:if_loop:ifs:problem_id:id,count_vars:operations:constructs
pandas,graph,0,DivAll,ADA,0.59,0.59,0.59,0.59,0.38,2017/02/16 16:44:02,dfs and similar:flows:shortest paths:trees,id:problem_id:single_loop:double_loop:triple_loop:if_loop:recursion:shift:or:and:int:double:float:string:char:vector:ll:point:arrays:declarations:variables:avg_params:functions:operations:plus:minus:times:divide:modulus:lines:ifs,all_feats
pandas,graph,0,DivAll,ADA,0.43,0.43,0.43,0.43,0.38,2017/02/16 16:44:07,dfs and similar:flows:shortest paths:trees,lines:problem_id:id,lines
pandas,graph,0,DivAll,ADA,0.47,0.47,0.47,0.47,0.38,2017/02/16 16:44:13,dfs and similar:flows:shortest paths:trees,int:double:float:char:vector:ll:point:arrays:problem_id:id,count_vars
pandas,graph,0,DivAll,ADA,0.49,0.49,0.49,0.49,0.38,2017/02/16 16:44:19,dfs and similar:flows:shortest paths:trees,int:double:float:char:vector:ll:point:arrays:operations:plus:minus:times:divide:modulus:problem_id:id,count_vars:operations
pandas,graph,0,DivAll,ADA,0.54,0.54,0.54,0.54,0.38,2017/02/16 16:44:25,dfs and similar:flows:shortest paths:trees,int:double:float:char:vector:ll:point:arrays:operations:plus:minus:times:divide:modulus:single_loop:double_loop:triple_loop:if_loop:ifs:problem_id:id,count_vars:operations:constructs
pandas,maths,0,DivAll,SVM,0.48,0.48,0.48,0.48,0.29,2017/02/16 16:44:32,combinatorics:games:geometry:matrices:number theory:probabilities,id:problem_id:single_loop:double_loop:triple_loop:if_loop:recursion:shift:or:and:int:double:float:string:char:vector:ll:point:arrays:declarations:variables:avg_params:functions:operations:plus:minus:times:divide:modulus:lines:ifs,all_feats
pandas,maths,0,DivAll,SVM,0.17,0.17,0.17,0.17,0.29,2017/02/16 16:44:37,combinatorics:games:geometry:matrices:number theory:probabilities,lines:problem_id:id,lines
pandas,maths,0,DivAll,SVM,0.38,0.38,0.38,0.38,0.29,2017/02/16 16:44:43,combinatorics:games:geometry:matrices:number theory:probabilities,int:double:float:char:vector:ll:point:arrays:problem_id:id,count_vars
pandas,maths,0,DivAll,SVM,0.44,0.44,0.44,0.44,0.29,2017/02/16 16:44:48,combinatorics:games:geometry:matrices:number theory:probabilities,int:double:float:char:vector:ll:point:arrays:operations:plus:minus:times:divide:modulus:problem_id:id,count_vars:operations
pandas,maths,0,DivAll,SVM,0.48,0.48,0.48,0.48,0.29,2017/02/16 16:44:54,combinatorics:games:geometry:matrices:number theory:probabilities,int:double:float:char:vector:ll:point:arrays:operations:plus:minus:times:divide:modulus:single_loop:double_loop:triple_loop:if_loop:ifs:problem_id:id,count_vars:operations:constructs
pandas,maths,0,DivAll,RFT,0.55,0.55,0.55,0.55,0.29,2017/02/16 16:45:05,combinatorics:games:geometry:matrices:number theory:probabilities,id:problem_id:single_loop:double_loop:triple_loop:if_loop:recursion:shift:or:and:int:double:float:string:char:vector:ll:point:arrays:declarations:variables:avg_params:functions:operations:plus:minus:times:divide:modulus:lines:ifs,all_feats
pandas,maths,0,DivAll,RFT,0.27,0.27,0.27,0.27,0.29,2017/02/16 16:45:14,combinatorics:games:geometry:matrices:number theory:probabilities,lines:problem_id:id,lines
pandas,maths,0,DivAll,RFT,0.39,0.39,0.39,0.39,0.29,2017/02/16 16:45:21,combinatorics:games:geometry:matrices:number theory:probabilities,int:double:float:char:vector:ll:point:arrays:problem_id:id,count_vars
pandas,maths,0,DivAll,RFT,0.51,0.51,0.51,0.51,0.29,2017/02/16 16:45:31,combinatorics:games:geometry:matrices:number theory:probabilities,int:double:float:char:vector:ll:point:arrays:operations:plus:minus:times:divide:modulus:problem_id:id,count_vars:operations
pandas,maths,0,DivAll,RFT,0.53,0.53,0.53,0.53,0.29,2017/02/16 16:45:40,combinatorics:games:geometry:matrices:number theory:probabilities,int:double:float:char:vector:ll:point:arrays:operations:plus:minus:times:divide:modulus:single_loop:double_loop:triple_loop:if_loop:ifs:problem_id:id,count_vars:operations:constructs
pandas,maths,0,DivAll,ADA,0.52,0.52,0.52,0.52,0.29,2017/02/16 16:45:50,combinatorics:games:geometry:matrices:number theory:probabilities,id:problem_id:single_loop:double_loop:triple_loop:if_loop:recursion:shift:or:and:int:double:float:string:char:vector:ll:point:arrays:declarations:variables:avg_params:functions:operations:plus:minus:times:divide:modulus:lines:ifs,all_feats
pandas,maths,0,DivAll,ADA,0.29,0.29,0.29,0.29,0.29,2017/02/16 16:45:58,combinatorics:games:geometry:matrices:number theory:probabilities,lines:problem_id:id,lines
pandas,maths,0,DivAll,ADA,0.44,0.44,0.44,0.44,0.29,2017/02/16 16:46:05,combinatorics:games:geometry:matrices:number theory:probabilities,int:double:float:char:vector:ll:point:arrays:problem_id:id,count_vars
pandas,maths,0,DivAll,ADA,0.50,0.50,0.50,0.50,0.29,2017/02/16 16:46:13,combinatorics:games:geometry:matrices:number theory:probabilities,int:double:float:char:vector:ll:point:arrays:operations:plus:minus:times:divide:modulus:problem_id:id,count_vars:operations
pandas,maths,0,DivAll,ADA,0.51,0.51,0.51,0.51,0.29,2017/02/16 16:46:22,combinatorics:games:geometry:matrices:number theory:probabilities,int:double:float:char:vector:ll:point:arrays:operations:plus:minus:times:divide:modulus:single_loop:double_loop:triple_loop:if_loop:ifs:problem_id:id,count_vars:operations:constructs
pandas,algos,0,DivAll,SVM,0.41,0.41,0.41,0.41,0.17,2017/02/16 16:46:33,combinatorics:dfs and similar:flows:games:geometry:matrices:number theory:probabilities:shortest paths:trees,id:problem_id:single_loop:double_loop:triple_loop:if_loop:recursion:shift:or:and:int:double:float:string:char:vector:ll:point:arrays:declarations:variables:avg_params:functions:operations:plus:minus:times:divide:modulus:lines:ifs,all_feats
pandas,algos,0,DivAll,SVM,0.13,0.13,0.13,0.13,0.17,2017/02/16 16:46:41,combinatorics:dfs and similar:flows:games:geometry:matrices:number theory:probabilities:shortest paths:trees,lines:problem_id:id,lines
pandas,algos,0,DivAll,SVM,0.29,0.29,0.29,0.29,0.17,2017/02/16 16:46:49,combinatorics:dfs and similar:flows:games:geometry:matrices:number theory:probabilities:shortest paths:trees,int:double:float:char:vector:ll:point:arrays:problem_id:id,count_vars
pandas,algos,0,DivAll,SVM,0.36,0.36,0.36,0.36,0.17,2017/02/16 16:46:57,combinatorics:dfs and similar:flows:games:geometry:matrices:number theory:probabilities:shortest paths:trees,int:double:float:char:vector:ll:point:arrays:operations:plus:minus:times:divide:modulus:problem_id:id,count_vars:operations
pandas,algos,0,DivAll,SVM,0.39,0.39,0.39,0.39,0.17,2017/02/16 16:47:06,combinatorics:dfs and similar:flows:games:geometry:matrices:number theory:probabilities:shortest paths:trees,int:double:float:char:vector:ll:point:arrays:operations:plus:minus:times:divide:modulus:single_loop:double_loop:triple_loop:if_loop:ifs:problem_id:id,count_vars:operations:constructs
pandas,algos,0,DivAll,RFT,0.50,0.50,0.50,0.50,0.17,2017/02/16 16:47:27,combinatorics:dfs and similar:flows:games:geometry:matrices:number theory:probabilities:shortest paths:trees,id:problem_id:single_loop:double_loop:triple_loop:if_loop:recursion:shift:or:and:int:double:float:string:char:vector:ll:point:arrays:declarations:variables:avg_params:functions:operations:plus:minus:times:divide:modulus:lines:ifs,all_feats
pandas,algos,0,DivAll,RFT,0.19,0.19,0.19,0.19,0.17,2017/02/16 16:47:41,combinatorics:dfs and similar:flows:games:geometry:matrices:number theory:probabilities:shortest paths:trees,lines:problem_id:id,lines
pandas,algos,0,DivAll,RFT,0.30,0.30,0.30,0.30,0.17,2017/02/16 16:47:54,combinatorics:dfs and similar:flows:games:geometry:matrices:number theory:probabilities:shortest paths:trees,int:double:float:char:vector:ll:point:arrays:problem_id:id,count_vars
pandas,algos,0,DivAll,RFT,0.41,0.41,0.41,0.41,0.17,2017/02/16 16:48:10,combinatorics:dfs and similar:flows:games:geometry:matrices:number theory:probabilities:shortest paths:trees,int:double:float:char:vector:ll:point:arrays:operations:plus:minus:times:divide:modulus:problem_id:id,count_vars:operations
pandas,algos,0,DivAll,RFT,0.46,0.46,0.46,0.46,0.17,2017/02/16 16:48:27,combinatorics:dfs and similar:flows:games:geometry:matrices:number theory:probabilities:shortest paths:trees,int:double:float:char:vector:ll:point:arrays:operations:plus:minus:times:divide:modulus:single_loop:double_loop:triple_loop:if_loop:ifs:problem_id:id,count_vars:operations:constructs
pandas,algos,0,DivAll,ADA,0.47,0.47,0.47,0.47,0.17,2017/02/16 16:48:46,combinatorics:dfs and similar:flows:games:geometry:matrices:number theory:probabilities:shortest paths:trees,id:problem_id:single_loop:double_loop:triple_loop:if_loop:recursion:shift:or:and:int:double:float:string:char:vector:ll:point:arrays:declarations:variables:avg_params:functions:operations:plus:minus:times:divide:modulus:lines:ifs,all_feats
pandas,algos,0,DivAll,ADA,0.21,0.21,0.21,0.21,0.17,2017/02/16 16:48:58,combinatorics:dfs and similar:flows:games:geometry:matrices:number theory:probabilities:shortest paths:trees,lines:problem_id:id,lines
pandas,algos,0,DivAll,ADA,0.35,0.35,0.35,0.35,0.17,2017/02/16 16:49:10,combinatorics:dfs and similar:flows:games:geometry:matrices:number theory:probabilities:shortest paths:trees,int:double:float:char:vector:ll:point:arrays:problem_id:id,count_vars
pandas,algos,0,DivAll,ADA,0.41,0.41,0.41,0.41,0.17,2017/02/16 16:49:24,combinatorics:dfs and similar:flows:games:geometry:matrices:number theory:probabilities:shortest paths:trees,int:double:float:char:vector:ll:point:arrays:operations:plus:minus:times:divide:modulus:problem_id:id,count_vars:operations
pandas,algos,0,DivAll,ADA,0.43,0.43,0.43,0.43,0.17,2017/02/16 16:49:40,combinatorics:dfs and similar:flows:games:geometry:matrices:number theory:probabilities:shortest paths:trees,int:double:float:char:vector:ll:point:arrays:operations:plus:minus:times:divide:modulus:single_loop:double_loop:triple_loop:if_loop:ifs:problem_id:id,count_vars:operations:constructs
pandas,categ,0,DivAll,SVM,0.41,0.41,0.41,0.41,0.23,2017/02/16 16:50:03,brute force:data structures:dp:graphs:greedy:implementation:math,id:problem_id:single_loop:double_loop:triple_loop:if_loop:recursion:shift:or:and:int:double:float:string:char:vector:ll:point:arrays:declarations:variables:avg_params:functions:operations:plus:minus:times:divide:modulus:lines:ifs,all_feats
pandas,categ,0,DivAll,SVM,0.22,0.22,0.22,0.22,0.23,2017/02/16 16:50:20,brute force:data structures:dp:graphs:greedy:implementation:math,lines:problem_id:id,lines
pandas,categ,0,DivAll,SVM,0.32,0.32,0.32,0.32,0.23,2017/02/16 16:50:37,brute force:data structures:dp:graphs:greedy:implementation:math,int:double:float:char:vector:ll:point:arrays:problem_id:id,count_vars
pandas,categ,0,DivAll,SVM,0.37,0.37,0.37,0.37,0.23,2017/02/16 16:50:55,brute force:data structures:dp:graphs:greedy:implementation:math,int:double:float:char:vector:ll:point:arrays:operations:plus:minus:times:divide:modulus:problem_id:id,count_vars:operations
